11/05/2023,-119.06,ALDI STORES - DEE WHY DEE WHY AUS Card xx0033 Value Date: 08/05/2023,+5867.36
11/05/2023,-3.2,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 09/05/2023,+5986.42
10/05/2023,-22.85,COLES 0784 DEE WHY AU AUS Card xx0033 Value Date: 08/05/2023,+5989.62
10/05/2023,-17,COLES 0944 DEE WHY AU AUS Card xx0033 Value Date: 08/05/2023,+6012.47
10/05/2023,-11.98,VUMBACA FRUIT MARKET DEE WHY AUS Card xx0033 Value Date: 05/05/2023,+6029.47
09/05/2023,-3822.5,BEACHWHEELS AUTOMOTIV FRESHWATER NS AUS Card xx6552 Value Date: 05/05/2023,+6041.45
09/05/2023,-9.99,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 05/05/2023,+9863.95
09/05/2023,-11.9,Jaycar Electronics Brookvale NS AUS Card xx6552 Value Date: 06/05/2023,+9873.94
09/05/2023,-10.21,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 06/05/2023,+9885.84
09/05/2023,-10.35,AMAZON AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 06/05/2023,+9896.05
09/05/2023,-15.9,ARCUS AUTO SERVICES PT BROOKVALE AUS Card xx6552 Value Date: 06/05/2023,+9906.40
09/05/2023,-3.93,TRANSPORTFORNSW TAP SYDNEY AUS Card xx6552 Value Date: 06/05/2023,+9922.30
09/05/2023,-15,MED*ALDIMobile CHATSWOOD AU AUS Card xx6552 Value Date: 07/05/2023,+9926.23
09/05/2023,-3.93,TRANSPORTFORNSW TAP SYDNEY AUS Card xx6552 Value Date: 06/05/2023,+9941.23
09/05/2023,-24,KMART MULGRAVE AUS Card xx6552 Value Date: 06/05/2023,+9945.16
09/05/2023,-4.08,WOOLWORTHS 1472 DEE WHY AU AUS Card xx0033 Value Date: 05/05/2023,+9969.16
09/05/2023,-15,LIQUORLAND 3626 DEE WHY AU AUS Card xx0033 Value Date: 07/05/2023,+9973.24
09/05/2023,-9.12,Direct Debit 000793 BUPA AUSTRALIA 447712440000022000,+9988.24
08/05/2023,-77.88,Direct Debit 617704 PAYPAL AUSTRALIA 1026853046921,+9997.36
06/05/2023,-0.5,International Transaction Fee Value Date: 04/05/2023,+10075.24
